type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
pad,,,80,5,5,,,80,7,7,0,0,0.006,
conv2d,PointWise,1,80,3,3,1,1,480,3,3,346080,40320,1.305,265195
conv2d,PointWise,1,480,3,3,1,1,128,3,3,553088,61952,1.57,352285
conv2d,PointWise,1,64,16,16,1,1,384,16,16,6291840,26112,17.664,356195
pad,,,64,32,32,,,64,36,36,0,0,0.175,
conv2d,PointWise,1,384,16,16,1,1,64,16,16,6291520,24832,14.398,436971
conv2d,PointWise,1,96,32,32,1,1,56,32,32,5505080,5600,12.522,439632
conv2d,PointWise,1,64,12,12,1,1,384,12,12,3539328,26112,10.741,329515
pad,,,72,56,56,,,72,60,60,0,0,0.44,
conv2d,PointWise,1,384,6,6,1,1,192,6,6,2654400,74496,5.601,473915
conv2d,PointWise,1,80,8,8,1,1,480,8,8,2458080,40320,5.608,438316
conv2d,PointWise,1,480,8,8,1,1,80,8,8,2457680,38720,5.335,460671
pad,,,384,12,12,,,384,16,16,0,0,0.147,
conv2d,PointWise,1,80,16,16,1,1,480,16,16,9830880,40320,26.189,375382
conv2d,PointWise,1,480,16,16,1,1,128,16,16,15728768,61952,35.598,441844
conv2d,PointWise,1,160,18,18,1,1,192,18,18,9953472,31488,23.334,426565
pad,,,80,8,8,,,80,10,10,0,0,0.011,
conv2d,PointWise,1,128,4,4,1,1,768,4,4,1573632,101376,4.169,377460
conv2d,PointWise,1,768,4,4,1,1,144,4,4,1769616,111168,4.184,422948
conv2d,PointWise,1,96,5,5,1,1,576,5,5,1382976,57600,3.557,388804
eltwise,,,,,,,,80,8,8,5120,0,0.45,11377
pad,,,80,32,32,,,80,34,34,0,0,0.17,
conv2d,PointWise,1,576,5,5,1,1,176,5,5,2534576,102080,5.685,445835
conv2d,PointWise,1,64,28,28,1,1,64,28,28,3211328,4352,8.009,400964
conv2d,PointWise,1,16,40,40,1,1,64,40,40,1638464,1280,6.428,254894
conv2d,PointWise,1,80,4,4,1,1,480,4,4,614880,40320,1.808,340088
pad,,,480,24,24,,,480,26,26,0,0,0.598,
conv2d,PointWise,1,480,4,4,1,1,112,4,4,860272,54208,1.997,430782
pad,,,128,7,7,,,128,9,9,0,0,0.012,
conv2d,PointWise,1,128,13,13,1,1,128,13,13,2769024,16896,7.412,373586
conv2d,PointWise,1,96,20,20,1,1,112,20,20,4300912,11200,10.501,409571
conv2d,PointWise,1,48,14,14,1,1,144,14,14,1354896,7488,3.351,404325
pad,,,96,10,10,,,96,12,12,0,0,0.018,
conv2d,PointWise,1,144,14,14,1,1,144,14,14,4064400,21312,10.179,399292
conv2d,PointWise,1,16,64,64,1,1,32,64,64,2097184,640,7.922,264729
conv2d,PointWise,1,144,5,5,1,1,864,5,5,3111264,127872,7.426,418969
pad,,,64,28,28,,,64,32,32,0,0,0.111,
conv2d,PointWise,1,864,5,5,1,1,144,5,5,3110544,124992,7.376,421711
conv2d,PointWise,1,72,56,56,1,1,24,56,56,5419032,1824,13.125,412878
