config,c_in,h_in,w_in,reduction,flops,params (Bytes),SRAM (Bytes),latency (ms)
SE_C_1024_H_14,1024,14,14,4,"928,000","529,412",213248,47.679
SE_C_512_H_20,512,20,20,4,"541,824","133,636",211072,43.94
SE_C_768_H_16,768,16,16,4,"689,856","298,756",206016,43.885
SE_C_32_H_80,32,80,80,4,410184,676,205192,42.523
SE_C_128_H_40,128,40,40,4,"418,080","8,836",206368,42.311
SE_C_88_H_48,88,48,48,4,"409,928","4,676",203840,42.019
SE_C_256_H_28,256,28,28,4,"434,752","34,052",203840,41.808
SE_C_960_H_14,960,14,14,4,"839,280","465,604",199920,41.689
SE_C_64_H_56,64,56,56,4,"403,600","2,372",201488,41.449
SE_C_352_H_24,352,24,24,4,"468,248","63,716",207064,40.766
SE_C_48_H_64,48,64,64,4,"394,864","1,796",197216,40.756
SE_C_16_H_112,16,112,112,4,401704,356,200920,40.598
SE_C_192_H_32,192,32,32,4,"412,080","19,396",198960,40.475
SE_C_896_H_14,896,14,14,4,"754,656","405,892",186592,40.192
SE_C_120_H_40,120,40,40,4,"391,952","8,292",193480,39.764
SE_C_480_H_20,480,20,20,4,"500,280","117,604",197880,38.568
SE_C_240_H_28,240,28,28,4,"407,584","31,940",191120,38.296
SE_C_704_H_16,704,16,16,4,"609,840","251,332",188848,38.226
SE_C_320_H_24,320,24,24,4,"420,560","52,804",188240,38.18
SE_C_80_H_48,80,48,48,4,"372,664","4,260",185320,38.111
SE_C_448_H_20,448,20,20,4,"459,760","102,596",184688,37.431
SE_C_112_H_40,112,40,40,4,"365,824","7,748",180592,37.058
SE_C_176_H_32,176,32,32,4,"377,744","17,796",182400,37.041
SE_C_1024_H_12,1024,12,12,4,"821,504","529,412",160000,36.703
SE_C_56_H_56,56,56,56,4,"353,152","2,084",176312,36.44
SE_C_640_H_16,640,16,16,4,"533,920","208,004",171680,35.75
SE_C_224_H_28,224,28,28,4,"376,824","26,212",178360,35.713
SE_C_832_H_14,832,14,14,4,"674,128","350,276",173264,35.688
SE_C_104_H_40,104,40,40,4,"338,024","5,508",167664,34.464
SE_C_72_H_48,72,48,48,4,"335,400","3,844",166800,34.421
SE_C_768_H_14,768,14,14,4,"597,696","298,756",159936,34.393
SE_C_40_H_64,40,64,64,4,"329,056","1,508",164360,34.076
SE_C_160_H_32,160,32,32,4,"340,840","13,604",165800,33.429
SE_C_288_H_24,288,24,24,4,"373,896","42,916",169416,33.396
SE_C_416_H_20,416,20,20,4,"420,264","88,612",171496,33.386
SE_C_208_H_28,208,28,28,4,"349,912","24,356",165640,33.176
SE_C_384_H_20,384,20,20,4,"381,792","75,652",158304,32.364
SE_C_960_H_12,960,12,12,4,"739,440","465,604",150000,32.135
SE_C_96_H_40,96,40,40,4,"312,024","5,092",154776,31.488
SE_C_24_H_80,24,80,80,4,307640,516,153904,31.478
SE_C_48_H_56,48,56,56,4,"302,704","1,796",151136,31.221
SE_C_192_H_28,192,28,28,4,"319,920","19,396",152880,31.004
SE_C_256_H_24,256,24,24,4,"328,256","34,052",150592,30.857
SE_C_576_H_16,576,16,16,4,"462,096","168,772",154512,30.796
SE_C_64_H_48,64,48,48,4,"297,104","2,372",148240,30.45
SE_C_144_H_32,144,32,32,4,"306,760","12,260",149240,30.31
SE_C_896_H_12,896,12,12,4,"661,472","405,892",140000,30.27
SE_C_16_H_96,16,96,96,4,295208,356,147672,29.827
SE_C_704_H_14,704,14,14,4,"525,360","251,332",146608,29.763
SE_C_88_H_40,88,40,40,4,"286,024","4,676",141888,29.228
SE_C_512_H_16,512,16,16,4,"394,368","133,636",137344,28.754
SE_C_176_H_28,176,28,28,4,"293,264","17,796",140160,28.058
SE_C_352_H_20,352,20,20,4,"344,344","63,716",145112,28
SE_C_640_H_14,640,14,14,4,"457,120","208,004",133280,27.84
SE_C_240_H_24,240,24,24,4,"307,744","31,940",141200,27.457
